method,topic,nodes,edges,max_degree,degree_1_ratio,clustering_coeff,lcc_nodes_ratio,avg_path_length,analysis_time
LLM Zero-shot,Topic_住建部住宅层高标准调整,1737,2065,313,0.7271157167530224,0.00429454878607421,0.3949337938975245,4.901091698410334,0.007116556167602539
LLM Zero-shot,Topic_全国流感病毒阳性率上升,5194,7442,543,0.7013862148633038,0.0055324911355415785,0.4713130535232961,4.916122115649148,0.08247995376586914
LLM Zero-shot,Topic_刘强东京东快递员退休金,5014,8233,3132,0.7235739928201037,0.0006592969069413832,0.7361388113282809,3.470438677835708,0.1676478385925293
LLM Zero-shot,Topic_四川地震,19361,19338,753,0.7547647332265895,0.0013199445623283822,0.45777594132534477,5.879227014760382,0.9648396968841553
LLM Zero-shot,Topic_微信提醒木马病毒,502,554,54,0.7191235059760956,0.005885237861696911,0.3884462151394422,5.096167063177372,0.0009844303131103516
LLM Zero-shot,Topic_拜登告别演讲,4633,6788,2924,0.7487589035182387,0.0005223231597561436,0.6796891862723937,3.5514900960874614,0.1075282096862793
LLM Zero-shot,Topic_提高农村养老金标准,9143,12660,586,0.7103795253199169,0.006157481042482,0.5265230230777644,5.552440415710429,0.3728058338165283
LLM Zero-shot,Topic_提高城乡居民基础养老金,6592,9399,594,0.7185983009708737,0.01275755228505035,0.5442961165048543,4.886700829422736,0.18313336372375488
LLM Zero-shot,Topic_特朗普上任三把火,6109,7771,2968,0.7456212146014077,0.000344615812206236,0.6498608610247176,3.5577342794567217,0.16269373893737793
LLM Zero-shot,Topic_特朗普中国商品加征10关税,4353,5620,2553,0.8045026418561911,0.0002938391720265108,0.6411670112566047,3.781283156690283,0.06513643264770508
LLM Zero-shot,Topic_特朗普巴拿马运河控制权,16081,22186,8280,0.7515079907965923,0.00022758800337456937,0.7280019899259996,3.57376343402455,1.604118824005127
LLM Zero-shot,Topic_特朗普政策普京,16428,23096,7572,0.748782566350134,0.00025961167201583684,0.71536401266131,3.582969518576957,1.765686273574829
LLM Zero-shot,Topic_特朗普新政美国风险,3254,2992,552,0.7507682851874616,0.0011449507671170138,0.3746158574062692,3.787992796054803,0.014052391052246094
LLM Zero-shot,Topic_特朗普格陵兰岛军队部署,2416,2897,885,0.7119205298013245,0.0012116615031498273,0.5869205298013245,3.421371359066265,0.018114566802978516
LLM Zero-shot,Topic_特朗普泽连斯基希望协议,6514,8088,2157,0.7652747927540682,0.0008211920288899539,0.6877494626957322,3.662481261761235,0.21304869651794434
LLM Zero-shot,Topic_特朗普罪名成立不予惩罚,1009,1406,706,0.7393458870168483,0.0022478556640047323,0.4985133795837463,3.203234774619217,0.0040171146392822266
LLM Zero-shot,Topic_特朗普美国国际开发署意味,5035,5927,1536,0.7445878848063555,0.0009820098171358493,0.6133068520357497,3.694913149074088,0.09868812561035156
LLM Zero-shot,Topic_特朗普赢得美国总统,8763,12466,4153,0.7391304347826086,0.0005159433928908937,0.6448704781467534,3.649401546910798,0.40692853927612305
LLM Zero-shot,Topic_特朗普退出联合国人权理事会,3203,4981,1709,0.7436778020605682,0.0015524220841321066,0.6465813300031221,3.4340063028199403,0.04940462112426758
LLM Zero-shot,Topic_特朗普马斯克起诉,10334,13385,2818,0.7216953744919683,0.0005036969189665801,0.6513450745113218,3.767113108870867,0.5748264789581299
LLM Zero-shot,Topic_移民入境美国,15096,17869,2273,0.7452967673555909,0.0008858224296591701,0.5556438791732909,4.658258469249166,0.9198176860809326
LLM Zero-shot,Topic_金价大涨历史新高,1579,1689,180,0.7321089297023432,0.002632348639953203,0.2849905003166561,4.49478841870824,0.002986907958984375
